Agency	CLR	County	MRD	State	Year
East Haven	2	New Haven, CT	3	Connecticut	2015
Hamden	0	New Haven, CT	3	Connecticut	2015
Meriden	0	New Haven, CT	1	Connecticut	2015
New Haven	4	New Haven, CT	15	Connecticut	2015
Waterbury	4	New Haven, CT	4	Connecticut	2015
West Haven	0	New Haven, CT	1	Connecticut	2015
New London	1	New London, CT	3	Connecticut	2015
Norwich	3	New London, CT	2	Connecticut	2015
Dover	4	Kent, DE	6	Delaware	2015
State Police: Kent County	1	Kent, DE	4	Delaware	2015
New Castle County Police Department	7	New Castle, DE	12	Delaware	2015
State Police: New Castle County	3	New Castle, DE	9	Delaware	2015
Wilmington	18	New Castle, DE	27	Delaware	2015
Milford	1	Sussex, DE	1	Delaware	2015
State Police: Sussex County	3	Sussex, DE	3	Delaware	2015
Washington	100	District of Columbia	162	District of Columbia	2015
Alachua County	1	Alachua, FL	1	Florida	2015
Gainesville	1	Alachua, FL	2	Florida	2015
Bay County	6	Bay, FL	6	Florida	2015
Panama City	2	Bay, FL	2	Florida	2015
Panama City Beach	1	Bay, FL	1	Florida	2015
Brevard County	2	Brevard, FL	3	Florida	2015
Cocoa	4	Brevard, FL	4	Florida	2015
Indian Harbour Beach	1	Brevard, FL	1	Florida	2015
Melbourne	3	Brevard, FL	5	Florida	2015
Palm Bay	2	Brevard, FL	4	Florida	2015
Titusville	4	Brevard, FL	7	Florida	2015
Broward County	4	Broward, FL	7	Florida	2015
Cooper City	1	Broward, FL	1	Florida	2015
Coral Springs	2	Broward, FL	2	Florida	2015
Dania	4	Broward, FL	4	Florida	2015
Davie	1	Broward, FL	1	Florida	2015
Deerfield Beach	1	Broward, FL	1	Florida	2015
Department of Agriculture	2	Broward, FL	3	Florida	2015
Fort Lauderdale	5	Broward, FL	10	Florida	2015
Hallandale	1	Broward, FL	2	Florida	2015
Hollywood	4	Broward, FL	8	Florida	2015
Lauderdale Lakes	1	Broward, FL	1	Florida	2015
Lauderhill	5	Broward, FL	8	Florida	2015
Margate	2	Broward, FL	2	Florida	2015
Miramar	5	Broward, FL	5	Florida	2015
North Lauderdale	1	Broward, FL	4	Florida	2015
Oakland Park	2	Broward, FL	6	Florida	2015
Pembroke Pines	6	Broward, FL	4	Florida	2015
Plantation	1	Broward, FL	2	Florida	2015
Pompano Beach	3	Broward, FL	6	Florida	2015
Sunrise	3	Broward, FL	3	Florida	2015
Tamarac	2	Broward, FL	3	Florida	2015
Wilton Manors	1	Broward, FL	2	Florida	2015
Punta Gorda	0	Charlotte, FL	1	Florida	2015
Citrus County	3	Citrus, FL	2	Florida	2015
Clay County	3	Clay, FL	4	Florida	2015
Green Cove Springs	1	Clay, FL	1	Florida	2015
Collier County	4	Collier, FL	2	Florida	2015
Columbia County	2	Columbia, FL	2	Florida	2015
Lake City	2	Columbia, FL	4	Florida	2015
Desoto County	1	De Soto, FL	0	Florida	2015
Dixie County	1	Dixie, FL	1	Florida	2015
Jacksonville	45	Duval, FL	97	Florida	2015
Escambia County	18	Escambia, FL	20	Florida	2015
Pensacola	4	Escambia, FL	4	Florida	2015
Bunnell	0	Flagler, FL	1	Florida	2015
Flagler County	1	Flagler, FL	1	Florida	2015
Franklin County	2	Franklin, FL	2	Florida	2015
Chattahoochee	1	Gadsden, FL	1	Florida	2015
Quincy	1	Gadsden, FL	1	Florida	2015
Glades County	1	Glades, FL	1	Florida	2015
Gulf County	1	Gulf, FL	1	Florida	2015
Hamilton County	4	Hamilton, FL	4	Florida	2015
White Springs	0	Hamilton, FL	1	Florida	2015
Clewiston	1	Hendry, FL	1	Florida	2015
Hendry County	2	Hendry, FL	2	Florida	2015
Hernando County	1	Hernando, FL	2	Florida	2015
Highlands County	4	Highlands, FL	4	Florida	2015
Sebring	0	Highlands, FL	1	Florida	2015
Hillsborough County	26	Hillsborough, FL	33	Florida	2015
Plant City	1	Hillsborough, FL	2	Florida	2015
Tampa	14	Hillsborough, FL	34	Florida	2015
Temple Terrace	1	Hillsborough, FL	1	Florida	2015
Holmes County	2	Holmes, FL	2	Florida	2015
Indian River County	2	Indian River, FL	2	Florida	2015
Graceville	1	Jackson, FL	1	Florida	2015
Jackson County	1	Jackson, FL	1	Florida	2015
Marianna	0	Jackson, FL	1	Florida	2015
Clermont	1	Lake, FL	1	Florida	2015
Eustis	1	Lake, FL	2	Florida	2015
Lake County	4	Lake, FL	6	Florida	2015
Leesburg	1	Lake, FL	1	Florida	2015
Mount Dora	1	Lake, FL	1	Florida	2015
Fort Myers	6	Lee, FL	14	Florida	2015
Lee County	8	Lee, FL	17	Florida	2015
Department of Law Enforcement: Leon County,  Talla	2	Leon, FL	4	Florida	2015
Leon County	0	Leon, FL	1	Florida	2015
Tallahassee	10	Leon, FL	16	Florida	2015
Levy County	3	Levy, FL	3	Florida	2015
Madison	1	Madison, FL	2	Florida	2015
Bradenton	6	Manatee, FL	6	Florida	2015
Manatee County	7	Manatee, FL	12	Florida	2015
Palmetto	3	Manatee, FL	2	Florida	2015
Belleview	1	Marion, FL	1	Florida	2015
Marion County	0	Marion, FL	6	Florida	2015
Ocala	2	Marion, FL	3	Florida	2015
Coral Gables	0	Miami-Dade, FL	1	Florida	2015
Florida City	0	Miami-Dade, FL	2	Florida	2015
Hialeah	3	Miami-Dade, FL	7	Florida	2015
Hialeah Gardens	2	Miami-Dade, FL	2	Florida	2015
Homestead	1	Miami-Dade, FL	7	Florida	2015
Miami	47	Miami-Dade, FL	75	Florida	2015
Miami Beach	2	Miami-Dade, FL	2	Florida	2015
Miami Gardens	6	Miami-Dade, FL	18	Florida	2015
Miami Lakes	1	Miami-Dade, FL	1	Florida	2015
Miami-Dade	36	Miami-Dade, FL	86	Florida	2015
North Miami	5	Miami-Dade, FL	5	Florida	2015
North Miami Beach	3	Miami-Dade, FL	5	Florida	2015
Opa Locka	0	Miami-Dade, FL	6	Florida	2015
Monroe County	0	Monroe, FL	2	Florida	2015
Nassau County	2	Nassau, FL	2	Florida	2015
Fort Walton Beach	2	Okaloosa, FL	6	Florida	2015
Okaloosa County	4	Okaloosa, FL	6	Florida	2015
Apopka	2	Orange, FL	2	Florida	2015
Orange County	38	Orange, FL	53	Florida	2015
Orlando	19	Orange, FL	32	Florida	2015
Winter Garden	2	Orange, FL	2	Florida	2015
Kissimmee	4	Osceola, FL	5	Florida	2015
Osceola County	4	Osceola, FL	6	Florida	2015
St. Cloud	0	Osceola, FL	1	Florida	2015
Belle Glade	1	Palm Beach, FL	3	Florida	2015
Boca Raton	1	Palm Beach, FL	1	Florida	2015
Boynton Beach	3	Palm Beach, FL	8	Florida	2015
Delray Beach	4	Palm Beach, FL	3	Florida	2015
Greenacres City	0	Palm Beach, FL	9	Florida	2015
Jupiter	1	Palm Beach, FL	1	Florida	2015
Lake Park	2	Palm Beach, FL	2	Florida	2015
Lake Worth	2	Palm Beach, FL	7	Florida	2015
Pahokee	1	Palm Beach, FL	2	Florida	2015
Palm Beach County	9	Palm Beach, FL	25	Florida	2015
Palm Beach Shores	1	Palm Beach, FL	1	Florida	2015
Palm Springs	1	Palm Beach, FL	1	Florida	2015
Riviera Beach	3	Palm Beach, FL	10	Florida	2015
South Bay	0	Palm Beach, FL	1	Florida	2015
Wellington	0	Palm Beach, FL	1	Florida	2015
West Palm Beach	4	Palm Beach, FL	22	Florida	2015
Dade City	1	Pasco, FL	1	Florida	2015
New Port Richey	0	Pasco, FL	1	Florida	2015
Pasco County	13	Pasco, FL	14	Florida	2015
Zephyrhills	0	Pasco, FL	1	Florida	2015
Clearwater	7	Pinellas, FL	7	Florida	2015
Gulfport	1	Pinellas, FL	1	Florida	2015
Indian Rocks Beach	1	Pinellas, FL	1	Florida	2015
Largo	3	Pinellas, FL	2	Florida	2015
Pinellas County	2	Pinellas, FL	5	Florida	2015
St. Pete Beach	0	Pinellas, FL	1	Florida	2015
St. Petersburg	12	Pinellas, FL	14	Florida	2015
Tarpon Springs	1	Pinellas, FL	0	Florida	2015
Haines City	5	Polk, FL	2	Florida	2015
Lake Alfred	1	Polk, FL	1	Florida	2015
Lake Wales	2	Polk, FL	1	Florida	2015
Lakeland	4	Polk, FL	4	Florida	2015
Polk County	17	Polk, FL	16	Florida	2015
Winter Haven	1	Polk, FL	1	Florida	2015
Palatka	3	Putnam, FL	2	Florida	2015
Putnam County	4	Putnam, FL	6	Florida	2015
Gulf Breeze	1	Santa Rosa, FL	1	Florida	2015
Santa Rosa County	1	Santa Rosa, FL	3	Florida	2015
North Port	1	Sarasota, FL	1	Florida	2015
Sarasota	5	Sarasota, FL	5	Florida	2015
Sarasota County	4	Sarasota, FL	5	Florida	2015
Lake Mary	0	Seminole, FL	1	Florida	2015
Longwood	0	Seminole, FL	1	Florida	2015
Sanford	1	Seminole, FL	4	Florida	2015
Seminole County	0	Seminole, FL	2	Florida	2015
Winter Springs	1	Seminole, FL	1	Florida	2015
St. Augustine	0	St. Johns, FL	2	Florida	2015
St. Johns County	0	St. Johns, FL	2	Florida	2015
Fort Pierce	3	St. Lucie, FL	9	Florida	2015
Port St. Lucie	2	St. Lucie, FL	2	Florida	2015
St. Lucie County	1	St. Lucie, FL	3	Florida	2015
Sumter County	0	Sumter, FL	1	Florida	2015
Suwannee County	1	Suwannee, FL	1	Florida	2015
Taylor County	1	Taylor, FL	2	Florida	2015
Daytona Beach	6	Volusia, FL	10	Florida	2015
Deland	1	Volusia, FL	2	Florida	2015
Holly Hill	1	Volusia, FL	1	Florida	2015
New Smyrna Beach	1	Volusia, FL	1	Florida	2015
Ormond Beach	1	Volusia, FL	2	Florida	2015
Port Orange	1	Volusia, FL	1	Florida	2015
Volusia County	5	Volusia, FL	5	Florida	2015
Wakulla County	0	Wakulla, FL	2	Florida	2015
De Funiak Springs	1	Walton, FL	1	Florida	2015
Baldwin County	1	Baldwin, GA	1	Georgia	2015
Milledgeville	1	Baldwin, GA	2	Georgia	2015
Banks County	1	Banks, GA	3	Georgia	2015
Winder	1	Barrow, GA	1	Georgia	2015
Bartow County	3	Bartow, GA	3	Georgia	2015
Cartersville	0	Bartow, GA	1	Georgia	2015
Euharlee	3	Bartow, GA	1	Georgia	2015
Ben Hill County	1	Ben Hill, GA	1	Georgia	2015
Bibb County	19	Bibb, GA	33	Georgia	2015
Brooks County	1	Brooks, GA	1	Georgia	2015
Bulloch County	0	Bulloch, GA	1	Georgia	2015
Statesboro	1	Bulloch, GA	1	Georgia	2015
Burke County	0	Burke, GA	1	Georgia	2015
Waynesboro	1	Burke, GA	1	Georgia	2015
Butts County	1	Butts, GA	0	Georgia	2015
Carrollton	1	Carroll, GA	2	Georgia	2015
Catoosa County	0	Catoosa, GA	2	Georgia	2015
Fort Oglethorpe	0	Catoosa, GA	1	Georgia	2015
Charlton County	1	Charlton, GA	1	Georgia	2015
Garden City	1	Chatham, GA	1	Georgia	2015
Savannah	39	Chatham, GA	54	Georgia	2015
Savannah State Universit	0	Chatham, GA	1	Georgia	2015
Cherokee County	0	Cherokee, GA	2	Georgia	2015
Woodstock	0	Cherokee, GA	1	Georgia	2015
Athens-Clarke County	3	Clarke, GA	3	Georgia	2015
Clayton County Police Department	9	Clayton, GA	18	Georgia	2015
Clayton State University	0	Clayton, GA	1	Georgia	2015
Forest Park	1	Clayton, GA	2	Georgia	2015
Morrow	0	Clayton, GA	1	Georgia	2015
Riverdale	1	Clayton, GA	2	Georgia	2015
Cobb County Police Department	11	Cobb, GA	17	Georgia	2015
Marietta	2	Cobb, GA	7	Georgia	2015
Powder Springs	0	Cobb, GA	2	Georgia	2015
Smyrna	1	Cobb, GA	0	Georgia	2015
Coffee County	3	Coffee, GA	3	Georgia	2015
Douglas	0	Coffee, GA	1	Georgia	2015
Moultrie	0	Colquitt, GA	4	Georgia	2015
Columbia County	2	Columbia, GA	2	Georgia	2015
Adel	1	Cook, GA	1	Georgia	2015
Sparks	1	Cook, GA	1	Georgia	2015
Newnan	0	Coweta, GA	4	Georgia	2015
Cordele	1	Crisp, GA	2	Georgia	2015
Crisp County	1	Crisp, GA	1	Georgia	2015
Dawson County	0	Dawson, GA	2	Georgia	2015
Brook Haven	4	De Kalb, GA	2	Georgia	2015
Chamblee	1	De Kalb, GA	3	Georgia	2015
Clarkston	0	De Kalb, GA	1	Georgia	2015
Dekalb County Police Department	11	De Kalb, GA	69	Georgia	2015
Dunwoody	1	De Kalb, GA	1	Georgia	2015
Emory University	1	De Kalb, GA	0	Georgia	2015
Lithonia	0	De Kalb, GA	1	Georgia	2015
Bainbridge	0	Decatur, GA	1	Georgia	2015
Decatur County	1	Decatur, GA	0	Georgia	2015
Dodge County	1	Dodge, GA	1	Georgia	2015
Albany	9	Dougherty, GA	9	Georgia	2015
Douglas County	5	Douglas, GA	6	Georgia	2015
Douglasville	1	Douglas, GA	0	Georgia	2015
Blakely	0	Early, GA	1	Georgia	2015
Early County	2	Early, GA	2	Georgia	2015
Springfield	1	Effingham, GA	1	Georgia	2015
Fayette County	1	Fayette, GA	1	Georgia	2015
Fayetteville	0	Fayette, GA	1	Georgia	2015
Floyd County	1	Floyd, GA	2	Georgia	2015
Floyd County Police Department	2	Floyd, GA	5	Georgia	2015
Rome	4	Floyd, GA	4	Georgia	2015
Forsyth County	8	Forsyth, GA	0	Georgia	2015
Franklin County	0	Franklin, GA	1	Georgia	2015
Alpharetta	0	Fulton, GA	1	Georgia	2015
Atlanta	79	Fulton, GA	94	Georgia	2015
College Park	8	Fulton, GA	8	Georgia	2015
East Point	1	Fulton, GA	4	Georgia	2015
Fairburn	1	Fulton, GA	2	Georgia	2015
Fulton County Police Department	10	Fulton, GA	14	Georgia	2015
Hapeville	1	Fulton, GA	0	Georgia	2015
Milton	1	Fulton, GA	2	Georgia	2015
Palmetto	0	Fulton, GA	2	Georgia	2015
Roswell	1	Fulton, GA	1	Georgia	2015
Sandy Spring	5	Fulton, GA	3	Georgia	2015
Union City	2	Fulton, GA	7	Georgia	2015
Gilmer County	0	Gilmer, GA	1	Georgia	2015
Brunswick	0	Glynn, GA	2	Georgia	2015
Calhoun	0	Gordon, GA	1	Georgia	2015
Cairo	1	Grady, GA	1	Georgia	2015
Greensboro	0	Greene, GA	1	Georgia	2015
Gwinnett County Police Department	2	Gwinnett, GA	22	Georgia	2015
Lawrenceville	0	Gwinnett, GA	2	Georgia	2015
Lilburn	1	Gwinnett, GA	2	Georgia	2015
Norcross	1	Gwinnett, GA	1	Georgia	2015
Habersham County	1	Habersham, GA	1	Georgia	2015
Gainesville	2	Hall, GA	3	Georgia	2015
Hall County	2	Hall, GA	2	Georgia	2015
Haralson County	0	Haralson, GA	2	Georgia	2015
Heard County	1	Heard, GA	1	Georgia	2015
Henry County Police Department	4	Henry, GA	6	Georgia	2015
Houston County	4	Houston, GA	2	Georgia	2015
Warner Robins	3	Houston, GA	3	Georgia	2015
Ocilla	1	Irwin, GA	1	Georgia	2015
Lamar County	1	Lamar, GA	1	Georgia	2015
Dublin	13	Laurens, GA	5	Georgia	2015
Laurens County	3	Laurens, GA	3	Georgia	2015
Hinesville	1	Liberty, GA	1	Georgia	2015
Valdosta	11	Lowndes, GA	2	Georgia	2015
Madison County	2	Madison, GA	2	Georgia	2015
Mcduffie County	3	McDuffie, GA	3	Georgia	2015
Mcintosh County	0	McIntosh, GA	1	Georgia	2015
Meriwether County	0	Meriwether, GA	2	Georgia	2015
Colquitt	0	Miller, GA	2	Georgia	2015
Madison	1	Morgan, GA	1	Georgia	2015
Columbus	10	Muscogee, GA	19	Georgia	2015
Covington	2	Newton, GA	2	Georgia	2015
Newton County	7	Newton, GA	7	Georgia	2015
Hiram	1	Paulding, GA	1	Georgia	2015
Paulding County	2	Paulding, GA	2	Georgia	2015
Fort Valley	1	Peach, GA	1	Georgia	2015
Blackshear	1	Pierce, GA	1	Georgia	2015
Pierce County	1	Pierce, GA	1	Georgia	2015
Pike County	0	Pike, GA	1	Georgia	2015
Cedartown	0	Polk, GA	1	Georgia	2015
Putnam County	2	Putnam, GA	2	Georgia	2015
Conyers	1	Rockdale, GA	1	Georgia	2015
Rockdale County	3	Rockdale, GA	4	Georgia	2015
Seminole County	1	Seminole, GA	1	Georgia	2015
Griffin	0	Spalding, GA	1	Georgia	2015
Americus	1	Sumter, GA	3	Georgia	2015
Sumter County	2	Sumter, GA	2	Georgia	2015
Terrell County	1	Terrell, GA	1	Georgia	2015
Thomas County	0	Thomas, GA	1	Georgia	2015
Tift County	2	Tift, GA	3	Georgia	2015
Lagrange	2	Troup, GA	3	Georgia	2015
Troup County	7	Troup, GA	8	Georgia	2015
West Point	0	Troup, GA	1	Georgia	2015
Union County	4	Union, GA	4	Georgia	2015
Upson County	1	Upson, GA	1	Georgia	2015
Walker County	0	Walker, GA	1	Georgia	2015
Walton County	1	Walton, GA	0	Georgia	2015
Ware County	0	Ware, GA	1	Georgia	2015
Waycross	4	Ware, GA	5	Georgia	2015
Warren County	0	Warren, GA	1	Georgia	2015
Sandersville	1	Washington, GA	1	Georgia	2015
Washington County	1	Washington, GA	1	Georgia	2015
Jesup	1	Wayne, GA	1	Georgia	2015
Wayne County	0	Wayne, GA	1	Georgia	2015
Dalton	1	Whitfield, GA	1	Georgia	2015
Whitfield County	2	Whitfield, GA	2	Georgia	2015
Wilkes County	1	Wilkes, GA	1	Georgia	2015
Worth County	0	Worth, GA	1	Georgia	2015
Hawaii Police Department County	6	Hawaii, HI	8	Hawaii	2015
Honolulu County	10	Honolulu, HI	15	Hawaii	2015
Kauai Police Department County	1	Kauai, HI	2	Hawaii	2015
Maui Police Department County	5	Maui, HI	4	Hawaii	2015
Ada County	3	Ada, ID	3	Idaho	2015
Boise	1	Ada, ID	1	Idaho	2015
Meridian	1	Ada, ID	1	Idaho	2015
Fort Hall Tribal	1	Bannock, ID	2	Idaho	2015
Pocatello	1	Bannock, ID	1	Idaho	2015
Idaho State Police	1	Boise, ID	2	Idaho	2015
Idaho Falls	2	Bonneville, ID	2	Idaho	2015
Boundary County	2	Boundary, ID	2	Idaho	2015
Caldwell	1	Canyon, ID	0	Idaho	2015
Canyon County	0	Canyon, ID	1	Idaho	2015
Nampa	4	Canyon, ID	6	Idaho	2015
Coeur D'Alene	0	Kootenai, ID	1	Idaho	2015
Kootenai County	0	Kootenai, ID	1	Idaho	2015
Moscow	3	Latah, ID	3	Idaho	2015
Lewiston	1	Nez Perce, ID	2	Idaho	2015
Twin Falls	3	Twin Falls, ID	2	Idaho	2015
Twin Falls County	2	Twin Falls, ID	2	Idaho	2015
Barry County	3	Barry, MO	3	Missouri	2015
Monett	2	Barry, MO	2	Missouri	2015
Bates County	1	Bates, MO	1	Missouri	2015
Butler	0	Bates, MO	1	Missouri	2015
Boone County	1	Boone, MO	5	Missouri	2015
Columbia	1	Boone, MO	1	Missouri	2015
Buchanan County	4	Buchanan, MO	4	Missouri	2015
St. Joseph	7	Buchanan, MO	7	Missouri	2015
State Police: Macon	1	Buchanan, MO	1	Missouri	2015
Butler County	0	Butler, MO	1	Missouri	2015
Poplar Bluff	1	Butler, MO	1	Missouri	2015
Cape Girardeau	0	Cape Girardeau, MO	2	Missouri	2015
Cape Girardeau County	0	Cape Girardeau, MO	1	Missouri	2015
Belton	1	Cass, MO	1	Missouri	2015
Cass County	1	Cass, MO	1	Missouri	2015
Peculiar	1	Cass, MO	1	Missouri	2015
Christian County	3	Christian, MO	3	Missouri	2015
Liberty	1	Clay, MO	2	Missouri	2015
North Kansas City	0	Clay, MO	1	Missouri	2015
Cameron	2	Clinton, MO	2	Missouri	2015
Jefferson City	2	Cole, MO	2	Missouri	2015
Salem	0	Dent, MO	1	Missouri	2015
Douglas County	2	Douglas, MO	2	Missouri	2015
Kennett	1	Dunklin, MO	2	Missouri	2015
Malden	1	Dunklin, MO	1	Missouri	2015
Pacific	3	Franklin, MO	3	Missouri	2015
Hermann	1	Gasconade, MO	1	Missouri	2015
Greene County	0	Greene, MO	1	Missouri	2015
Springfield	13	Greene, MO	10	Missouri	2015
Willard	1	Greene, MO	1	Missouri	2015
Clinton	1	Henry, MO	2	Missouri	2015
Grandview	1	Jackson, MO	2	Missouri	2015
Independence	4	Jackson, MO	7	Missouri	2015
Kansas City	51	Jackson, MO	110	Missouri	2015
Lee's Summit	1	Jackson, MO	1	Missouri	2015
Raytown	1	Jackson, MO	2	Missouri	2015
Carthage	1	Jasper, MO	1	Missouri	2015
Jasper County	2	Jasper, MO	2	Missouri	2015
Joplin	0	Jasper, MO	3	Missouri	2015
De Soto	1	Jefferson, MO	1	Missouri	2015
Festus	0	Jefferson, MO	1	Missouri	2015
Jefferson County	2	Jefferson, MO	2	Missouri	2015
Johnson County	1	Johnson, MO	1	Missouri	2015
Odessa	1	Lafayette, MO	1	Missouri	2015
Lawrence County	1	Lawrence, MO	1	Missouri	2015
Mount Vernon	1	Lawrence, MO	1	Missouri	2015
State Police: Macon	1	Macon, MO	1	Missouri	2015
Hannibal	2	Marion, MO	3	Missouri	2015
Mcdonald County	3	McDonald, MO	4	Missouri	2015
Morgan County	0	Morgan, MO	1	Missouri	2015
Parma	1	New Madrid, MO	1	Missouri	2015
Neosho	0	Newton, MO	1	Missouri	2015
Newton County	2	Newton, MO	2	Missouri	2015
Hayti	1	Pemiscot, MO	1	Missouri	2015
Pemiscot County	3	Pemiscot, MO	3	Missouri	2015
Wardell	1	Pemiscot, MO	1	Missouri	2015
Sedalia	1	Pettis, MO	1	Missouri	2015
Rolla	2	Phelps, MO	2	Missouri	2015
Pulaski County	0	Pulaski, MO	2	Missouri	2015
Putnam County	1	Putnam, MO	1	Missouri	2015
Randolph County	3	Randolph, MO	3	Missouri	2015
Reynolds County	1	Reynolds, MO	1	Missouri	2015
Ripley County	1	Ripley, MO	1	Missouri	2015
Miner	2	Scott, MO	2	Missouri	2015
Sikeston	4	Scott, MO	4	Missouri	2015
St. Charles	1	St. Charles, MO	1	Missouri	2015
St. Charles County PD	1	St. Charles, MO	1	Missouri	2015
Wentzville	1	St. Charles, MO	1	Missouri	2015
St. Francois County	0	St. Francois, MO	1	Missouri	2015
St. Louis	91	St. Louis city, MO	188	Missouri	2015
Bellefontaine Neighbors	2	St. Louis, MO	1	Missouri	2015
Creve Coeur	1	St. Louis, MO	1	Missouri	2015
Edmundson	0	St. Louis, MO	1	Missouri	2015
Eureka	0	St. Louis, MO	1	Missouri	2015
Ferguson	1	St. Louis, MO	5	Missouri	2015
Florissant	1	St. Louis, MO	3	Missouri	2015
Hazelwood	2	St. Louis, MO	4	Missouri	2015
Jennings	1	St. Louis, MO	1	Missouri	2015
Kirkwood	1	St. Louis, MO	1	Missouri	2015
Maryland Heights	1	St. Louis, MO	1	Missouri	2015
Normandy	3	St. Louis, MO	2	Missouri	2015
Pagedale	0	St. Louis, MO	2	Missouri	2015
Pine Lawn	0	St. Louis, MO	1	Missouri	2015
St. John	1	St. Louis, MO	1	Missouri	2015
St. Louis County Police Department	16	St. Louis, MO	28	Missouri	2015
Sunset Hills	1	St. Louis, MO	1	Missouri	2015
University City	1	St. Louis, MO	3	Missouri	2015
Wellston	2	St. Louis, MO	3	Missouri	2015
Kimberling City	1	Stone, MO	1	Missouri	2015
Branson	1	Taney, MO	1	Missouri	2015
Taney County	1	Taney, MO	1	Missouri	2015
Texas County	7	Texas, MO	7	Missouri	2015
Nevada	1	Vernon, MO	0	Missouri	2015
Warren County	1	Warren, MO	1	Missouri	2015
Washington County	0	Washington, MO	1	Missouri	2015
Wayne County	1	Wayne, MO	1	Missouri	2015
Crow Agency	3	Big Horn, MT	3	Montana	2015
Fort Belknap Tribal	0	Blaine, MT	1	Montana	2015
Cascade County	0	Cascade, MT	2	Montana	2015
Great Falls	4	Cascade, MT	4	Montana	2015
Miles City	1	Custer, MT	1	Montana	2015
Deer Lodge	0	Deer Lodge, MT	4	Montana	2015
Flathead County	0	Flathead, MT	4	Montana	2015
Helena	1	Lewis and Clark, MT	1	Montana	2015
Missoula	1	Missoula, MT	4	Montana	2015
Powell County	2	Powell, MT	2	Montana	2015
Sanders County	1	Sanders, MT	1	Montana	2015
Silver Bow County	1	Silver Bow, MT	1	Montana	2015
Billings	3	Yellowstone, MT	9	Montana	2015
Yellowstone County	0	Yellowstone, MT	1	Montana	2015
Cherry County	1	Cherry, NE	1	Nebraska	2015
Lexington	1	Dawson, NE	1	Nebraska	2015
Dodge County	1	Dodge, NE	1	Nebraska	2015
Douglas County	2	Douglas, NE	1	Nebraska	2015
Omaha	38	Douglas, NE	48	Nebraska	2015
Hitchcock County	0	Hitchcock, NE	1	Nebraska	2015
Ogallala	0	Keith, NE	1	Nebraska	2015
Lincoln	1	Lancaster, NE	1	Nebraska	2015
Morrill County	1	Morrill, NE	1	Nebraska	2015
Nebraska City	2	Otoe, NE	2	Nebraska	2015
State Patrol: Pierce County	1	Pierce, NE	1	Nebraska	2015
Scottsbluff	1	Scotts Bluff, NE	2	Nebraska	2015
Carson City County	1	Carson City city, NV	1	Nevada	2015
Churchill County	1	Churchill, NV	1	Nevada	2015
Henderson	8	Clark, NV	4	Nevada	2015
Las Vegas Metro Police Department	80	Clark, NV	127	Nevada	2015
North Las Vegas	9	Clark, NV	14	Nevada	2015
Douglas County	2	Douglas, NV	3	Nevada	2015
Elko	3	Elko, NV	2	Nevada	2015
Elko County	1	Elko, NV	1	Nevada	2015
Lander County	1	Lander, NV	1	Nevada	2015
Lincoln County	0	Lincoln, NV	1	Nevada	2015
Lyon County	1	Lyon, NV	1	Nevada	2015
Nye County	3	Nye, NV	2	Nevada	2015
Storey County	2	Storey, NV	2	Nevada	2015
Reno	11	Washoe, NV	15	Nevada	2015
Sparks	3	Washoe, NV	2	Nevada	2015
Washoe County	1	Washoe, NV	1	Nevada	2015
Bedford	2	Hillsborough, NH	2	New Hampshire	2015
Manchester	3	Hillsborough, NH	6	New Hampshire	2015
Merrimack	1	Hillsborough, NH	1	New Hampshire	2015
Nashua	7	Hillsborough, NH	5	New Hampshire	2015
Exeter	0	Rockingham, NH	1	New Hampshire	2015
Barrington	1	Strafford, NH	0	New Hampshire	2015
Quincy	0	Adams, IL	5	Illinois	2015
Bond County	0	Bond, IL	1	Illinois	2015
Belvidere	0	Boone, IL	1	Illinois	2015
Bureau County	0	Bureau, IL	1	Illinois	2015
Lanark	0	Carroll, IL	1	Illinois	2015
Champaign	0	Champaign, IL	4	Illinois	2015
Rantoul	0	Champaign, IL	1	Illinois	2015
Urbana	0	Champaign, IL	1	Illinois	2015
Lake Land College	0	Coles, IL	1	Illinois	2015
Alsip	0	Cook, IL	1	Illinois	2015
Arlington Heights	0	Cook, IL	1	Illinois	2015
Barrington	0	Cook, IL	1	Illinois	2015
Berwyn	0	Cook, IL	2	Illinois	2015
Blue Island	0	Cook, IL	1	Illinois	2015
Calumet City	0	Cook, IL	4	Illinois	2015
Chicago	0	Cook, IL	481	Illinois	2015
Cicero	0	Cook, IL	2	Illinois	2015
Cook Co Forest Preserve	0	Cook, IL	1	Illinois	2015
Country Club Hills	0	Cook, IL	1	Illinois	2015
Elk Grove Village	0	Cook, IL	1	Illinois	2015
Evanston	0	Cook, IL	3	Illinois	2015
Flossmoor	0	Cook, IL	1	Illinois	2015
Harvey	0	Cook, IL	5	Illinois	2015
Hazel Crest	0	Cook, IL	1	Illinois	2015
Lansing	0	Cook, IL	2	Illinois	2015
Maywood	0	Cook, IL	13	Illinois	2015
Melrose Park	0	Cook, IL	3	Illinois	2015
Midlothian	0	Cook, IL	2	Illinois	2015
Northlake	0	Cook, IL	1	Illinois	2015
Park Forest	0	Cook, IL	1	Illinois	2015
River Forest	0	Cook, IL	1	Illinois	2015
Riverdale	0	Cook, IL	2	Illinois	2015
Rosemont	0	Cook, IL	1	Illinois	2015
Sauk Village	0	Cook, IL	1	Illinois	2015
Schaumburg	0	Cook, IL	1	Illinois	2015
